"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"FBgn0000346"	4799.80377361421	4.85661850893533	0.0934036123842663	51.9960458162474	0	0
"FBgn0000351"	20.8165092836688	-0.388590469275466	0.435231343889049	-0.892836590773038	0.371944688064373	0.434016239156114
"FBgn0000352"	1589.55008354019	1.49817974531858	0.0944174663980915	15.8676122382041	1.06205073976917e-56	8.41109749469362e-56
"FBgn0000355"	0.964863352949804	-1.49159955835911	1.96072704675774	-0.760737992993783	0.446813577118842	NA
"FBgn0000356"	0.355410688632736	-1.4281562772112	3.18913713019148	-0.447819024052269	0.654283812554246	NA
"FBgn0000357"	13.1320651593925	-3.32852100795509	0.778636943498724	-4.27480488274642	1.91304756381343e-05	4.1160204541147e-05
"FBgn0000358"	1.53915744857758	-2.33660487182435	1.70308844399577	-1.37198093267677	0.170069373636627	0.217820946069936
"FBgn0000359"	0.241840218402583	2.01340528134052	4.0804728567969	0.493424500542078	0.621712674241934	NA
"FBgn0000360"	0	NA	NA	NA	NA	NA
"FBgn0000370"	1455.71986552132	0.117277048645441	0.0891724189769462	1.31517177610445	0.188452178356076	0.238590997200319
"FBgn0000376"	407.965607632063	-0.524273876617584	0.141721361290985	-3.69932854046706	0.000216170621630661	0.000422397394666312
"FBgn0000377"	188.129286800851	-1.24553642752099	0.198508111791818	-6.27448629820843	3.5079051990686e-10	9.9892573329068e-10
"FBgn0000382"	9577.31124974502	2.63630401280527	0.116903077169569	22.5511943452206	1.30710015234999e-112	1.92694174722981e-111
"FBgn0000384"	344.132361084189	-0.00592435536180181	0.143763861125906	-0.0412089332840983	0.96712933199291	0.971968482341376
"FBgn0000392"	0	NA	NA	NA	NA	NA
"FBgn0000394"	10.1175893950231	-5.27516159880991	1.27826281625279	-4.12682081629658	3.67812758424327e-05	7.73861338055256e-05
"FBgn0000395"	96.7455020892441	0.340840858233023	0.212554938605566	1.60354240870176	0.108814954026622	0.145379700512694
"FBgn0000404"	388.964807843996	-4.73947017575686	0.252889647789926	-18.7412581621131	2.2816813978247e-78	2.34652918492077e-77
"FBgn0000405"	268.224925121079	-7.13116769609305	0.543077154585513	-13.1310397351104	2.1863385892005e-39	1.35037820793895e-38
"FBgn0000406"	0	NA	NA	NA	NA	NA
"FBgn0000409"	6037.59519242231	4.70404609605468	0.148739043118331	31.6261688755946	1.61297924798238e-219	5.50307554859259e-218
"FBgn0000411"	935.559642592454	0.167151266588723	0.106792366077819	1.56519864413268	0.11753633935233	0.155830624108005
"FBgn0000412"	3784.46025731546	-2.14886256152153	0.104220923912041	-20.6183411244281	1.87891104537599e-94	2.31833031052305e-93
"FBgn0000414"	4328.40621063751	0.29940685261268	0.078900666858864	3.79473158507333	0.000147803267686742	0.000293449421361429
"FBgn0000416"	1807.98415455973	0.49856483370016	0.107666838761461	4.6306257287329	3.6456233140597e-06	8.258750791779e-06
"FBgn0000422"	633.031485428422	6.27317127467756	0.201490363730343	31.1338525502541	8.39067863869451e-213	2.75763374098012e-211
"FBgn0000426"	404.000929370597	-6.12364385726368	0.329571138735496	-18.5806435622942	4.60944284239406e-77	4.68220058858308e-76
"FBgn0000427"	1.76138076624014	-2.5629971731454	1.63712144357761	-1.56555103666865	0.117453760372004	0.155740353203939
"FBgn0000439"	8.08892095412509	-2.22824843810922	0.822105559156402	-2.71041645843597	0.00671987744743016	0.0111396765274614
"FBgn0000442"	1.91862488255284	-0.770985045898536	1.34034108904749	-0.575215556844887	0.565145522798102	0.620453461386373
